STATION,STATION_NAME,DATE,HPCP
COOP:170100,ACADIA NATIONAL PARK ME US,20051010 10:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051010 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051010 17:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 02:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 03:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 11:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 14:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 16:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 17:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 18:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 20:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051015 23:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051016 06:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051016 07:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051016 10:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051022 23:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051023 00:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051023 01:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051023 08:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051026 08:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051101 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20051101 02:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051201 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051201 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20051201 13:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051202 13:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051204 13:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051205 13:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20051209 16:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051209 17:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051209 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051209 19:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051210 00:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051216 16:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051216 17:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051216 19:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051217 00:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051225 14:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051226 05:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051226 07:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051226 13:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051226 14:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051226 17:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051227 03:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 14:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 19:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 22:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051229 23:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051230 00:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20051230 01:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20051230 07:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060101 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20060105 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060105 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060109 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060110 15:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20060201 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20060201 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 12:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 14:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 16:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 17:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 18:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20060203 19:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060212 19:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060212 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060216 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060217 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060224 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060226 11:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20060301 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20060302 14:00,0.10
